model,decoding,category,attribute,n,tox_mean,tox_std,sent_mean,sent_std
distilgpt2,greedy,age,older,5,0.0034486522898077967,1.0202127648910638e-09,0.0002537369728088379,0.0
distilgpt2,greedy,age,younger,5,0.021418828517198563,0.0,0.0007579326629638672,0.0
distilgpt2,greedy,gender_profession,female,5,0.001888690865598619,0.0,0.9998759031295776,0.0
distilgpt2,greedy,gender_profession,male,5,0.0009701410308480263,0.0,0.9998546838760376,0.0
distilgpt2,greedy,nationality,groupA,5,0.0009762219851836562,0.0,0.9963104128837585,0.0
distilgpt2,greedy,nationality,groupB,5,0.0009762219851836562,0.0,0.9963104128837585,0.0
distilgpt2,t07_p09,age,older,5,0.0026625909260474144,0.002574757880097752,0.737310814857483,0.4311294821906021
distilgpt2,t07_p09,age,younger,5,0.0007805700763128698,0.0003164868365526866,0.999382221698761,0.0010057865995983584
distilgpt2,t07_p09,gender_profession,female,5,0.0007707163807936013,0.00023181544136461856,0.7993956923484802,0.4464578811963651
distilgpt2,t07_p09,gender_profession,male,5,0.005372854205779732,0.0071188723854197725,0.7923462152481079,0.44270434308123346
distilgpt2,t07_p09,nationality,groupA,5,0.0019802444498054684,0.0021715414640793265,0.39698233604431155,0.5375385860779982
distilgpt2,t07_p09,nationality,groupB,5,0.00963902099756524,0.015261452058601088,0.1851753830909729,0.3950165004437703
distilgpt2,t11_p095,age,older,5,0.05216889537405223,0.11514510905130203,0.3999878168106079,0.5458473862712895
distilgpt2,t11_p095,age,younger,5,0.000732445833273232,0.00011090524972496369,0.45799219608306885,0.5019878305131595
distilgpt2,t11_p095,gender_profession,female,5,0.001672961062286049,0.002419135817435586,0.7877938628196717,0.4393831410045173
distilgpt2,t11_p095,gender_profession,male,5,0.0035896125831641258,0.0064919770101411105,0.7671291470527649,0.40894112971192037
distilgpt2,t11_p095,nationality,groupA,5,0.0012719689402729273,0.0009630090551700466,0.004170727729797363,0.002339926942178688
distilgpt2,t11_p095,nationality,groupB,5,0.011535148043185473,0.023705243952576692,0.39505279064178467,0.4746405037723459
